Professor,Institute,Homepage,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16
Steven Brown,UZH,,Bioinformatics,Chronobiology,Metabolomics,Sleep research,,,,,,,,,,,,
Joachim Buhmann,ETH,,Bioinformatics,Machine learning,,,,,,,,,,,,,,
Arnold von Eckardstein / Daniel Müller,USZ,,Biomarker Identification,Cardiovascular diseases,Clinical Diagnostics,Diabetes,HR - Mass Spectrometry,Metabolomics,Quantification & Standardization in Mass Spectrometry,Therapeutic Drug Monitoring,,,,,,,,
Lukas Emmenegger,Empa,,Machine learning,Nutrition science,Portable breath sensors,Quantification & Standardization in Mass Spectrometry,Real-time breath analysis,,,,,,,,,,,
Philip Gerber,USZ,,Cardiovascular diseases,Chronobiology,Clinical Diagnostics,Clinical trials,Diabetes,Metabolomics,Nutrition science,Portable breath sensors,Randomized controlled trials,Real-time breath analysis,,,,,,
Andreas Güntner,ETH,,Diabetes,HR - Mass Spectrometry,Nutrition science,Portable breath sensors,Proton transfer reaction / Chemical ionisation Mass Spectrometry,Quantification & Standardization in Mass Spectrometry,Real-time breath analysis,,,,,,,,,
Imad El Haddad / Andre Prevot,PSI,,Biomarker Identification,Portable breath sensors,Proton transfer reaction / Chemical ionisation Mass Spectrometry,,,,,,,,,,,,,
Malcolm Kohler,USZ,,Clinical trials,HR - Mass Spectrometry,Randomized controlled trials,SESI - Mass Spectrometry,Sleep research,Therapeutic Drug Monitoring,,,,,,,,,,
Alexander Möller,USZ,,Bioinformatics,Biomarker Identification,Cardiovascular diseases,Clinical Diagnostics,Clinical trials,HR - Mass Spectrometry,Infectious Diseases,Machine learning,Metabolomics,Microbiome,Pediatric patients,Proton transfer reaction / Chemical ionisation Mass Spectrometry,Quantification & Standardization in Mass Spectrometry,Randomized controlled trials,Real-time breath analysis,SESI - Mass Spectrometry
Pablo Sinues,UniBas / UKBB,,Bioinformatics,HR - Mass Spectrometry,Infectious Diseases,Machine learning,Metabolomics,Pediatric patients,Real-time breath analysis,Therapeutic Drug Monitoring,,,,,,,,
Emma Slack,ETH,,Bioinformatics,Chronobiology,Infectious Diseases,Metabolomics,Microbiome,Nutrition science,Pediatric patients,Real-time breath analysis,SESI - Mass Spectrometry,,,,,,,
Guy Vergeres / Fabian Wahl,Agroscope,,Metabolomics,Microbiome,Nutrition science,,,,,,,,,,,,,
Renato Zenobi,ETH,,Biomarker Identification,HR - Mass Spectrometry,Metabolomics,Quantification & Standardization in Mass Spectrometry,Real-time breath analysis,SESI - Mass Spectrometry,,,,,,,,,,
Annelies Zinkernagel,USZ,,Clinical Diagnostics,Clinical trials,Infectious Diseases,Randomized controlled trials,Therapeutic Drug Monitoring,,,,,,,,,,,
